Iteration: 1
Team ,Score ,Strategy
1,-149,[11 2 7 10 13 3 9 8 4 12 5 1 6]
2,251,[2 4 1 13 10 3 8 11 9 6 5 12 7]
3,-241,[9 5 11 7 10 12 4 13 8 6 1 3 2]
4,87,[7 10 9 2 3 1 13 11 4 6 5 12 8]
5,-266,[13 11 12 5 7 1 2 8 6 10 9 3 4]
6,-233,[12 11 7 8 4 6 9 13 3 5 1 2 10]
7,-161,[13 10 3 11 9 8 7 1 4 2 5 12 6]
8,204,[3 13 8 2 10 5 4 9 11 1 6 7 12]
9,-38,[13 9 2 8 6 5 1 4 3 12 10 11 7]
10,-120,[13 7 5 12 8 1 3 10 6 9 4 2 11]
11,-148,[12 2 11 6 13 7 1 10 9 8 4 5 3]
12,223,[1 6 5 11 4 7 10 12 2 13 3 8 9]
13,123,[7 5 9 2 11 6 8 3 1 4 13 12 10]
14,272,[9 2 5 6 13 8 4 10 3 1 11 7 12]
15,369,[2 3 7 4 12 10 1 6 5 8 9 13 11]
16,108,[7 5 8 11 13 1 2 9 3 4 10 6 12]
17,35,[6 12 7 2 13 5 8 3 11 1 9 4 10]
18,-188,[8 13 1 12 10 6 5 7 9 11 2 4 3]
19,-75,[11 1 12 4 9 6 3 13 7 10 8 2 5]
20,-53,[9 2 11 5 13 10 7 4 3 12 1 6 8]
Iteration: 2
Team ,Score ,Strategy
1,123,[7 5 9 2 11 6 8 3 1 4 13 12 10]
2,188,[7 6 5 11 4 2 10 3 1 13 8 12 9]
3,161,[7 5 9 2 10 3 8 11 1 6 4 12 13]
4,346,[2 6 1 13 4 3 10 12 9 7 5 8 11]
5,188,[7 6 5 11 4 2 10 3 1 13 8 12 9]
6,129,[1 3 5 11 12 7 10 6 2 13 9 4 8]
7,-50,[4 1 11 5 8 10 3 13 12 9 7 2 6]
8,302,[11 3 8 4 2 1 10 5 6 9 7 12 13]
9,-121,[9 5 7 12 3 10 4 13 6 2 1 11 8]
10,-74,[11 10 4 7 5 8 1 2 9 6 12 13 3]
11,59,[13 5 7 2 4 6 3 1 11 12 10 8 9]
12,-191,[6 5 8 7 11 12 9 1 10 13 3 4 2]
13,-250,[2 5 11 12 13 9 8 10 3 1 7 6 4]
14,-206,[11 8 5 13 2 9 4 1 3 6 12 10 7]
15,-299,[12 9 8 1 11 10 4 5 3 13 2 7 6]
16,227,[8 2 1 9 7 11 10 4 5 6 13 3 12]
17,-29,[5 8 1 6 11 10 7 9 4 13 2 12 3]
18,-83,[10 2 5 4 7 13 12 6 8 11 3 9 1]
19,-274,[9 12 10 6 5 1 7 11 2 13 8 4 3]
20,-223,[6 13 12 3 2 1 8 9 10 11 5 4 7]
21,157,[3 10 6 9 8 11 2 4 5 1 13 7 12]
22,50,[9 3 5 10 2 8 6 7 4 12 13 1 11]
23,50,[8 6 4 12 3 2 13 11 9 1 7 5 10]
24,-118,[5 11 10 4 2 7 1 13 12 9 3 8 6]
25,-62,[4 11 7 12 1 3 8 10 6 5 13 2 9]
Iteration: 3
Team ,Score ,Strategy
1,150,[7 5 9 2 10 3 8 11 1 6 4 12 13]
2,126,[7 5 1 13 4 3 10 11 8 9 2 12 6]
3,314,[7 5 9 2 10 1 4 3 6 11 8 12 13]
4,126,[7 5 1 13 4 3 10 11 8 9 2 12 6]
5,-12,[7 5 1 9 10 3 8 11 4 6 13 12 2]
6,258,[11 6 5 4 2 1 10 3 7 13 8 12 9]
7,-77,[3 9 8 7 11 6 5 2 12 10 13 1 4]
8,123,[2 13 6 7 3 1 9 11 12 10 5 4 8]
9,-82,[11 12 2 1 13 7 3 5 9 10 8 4 6]
10,70,[4 7 12 2 11 3 5 8 6 10 9 13 1]
11,-119,[10 8 1 13 11 5 4 9 3 6 2 12 7]
12,-354,[11 13 6 7 8 4 9 12 1 10 2 5 3]
13,-61,[12 11 3 5 2 1 4 9 8 6 13 10 7]
14,-103,[9 5 2 7 8 12 13 11 3 6 1 4 10]
15,-156,[8 2 4 12 13 7 11 3 10 6 1 9 5]
16,431,[8 1 2 4 5 11 6 12 9 13 3 7 10]
17,188,[2 9 5 13 3 7 4 11 8 1 6 12 10]
18,-525,[9 10 13 8 6 11 3 1 12 5 7 2 4]
19,-111,[4 6 11 9 10 1 13 12 2 8 3 7 5]
20,-150,[6 10 7 8 4 9 3 12 11 13 1 2 5]
21,14,[4 12 6 9 5 3 8 11 2 13 1 7 10]
22,55,[2 1 9 10 5 3 11 8 13 6 12 7 4]
23,-139,[8 2 7 10 13 11 4 9 3 1 6 12 5]
24,60,[11 6 2 3 7 1 13 10 5 4 8 9 12]
25,-26,[7 1 13 4 2 9 8 6 11 10 12 3 5]
Iteration: 4
Team ,Score ,Strategy
1,-2,[7 5 1 13 4 3 10 11 8 9 2 12 6]
2,146,[2 6 5 4 3 7 8 11 10 13 1 12 9]
3,202,[11 5 9 4 2 3 10 7 1 6 8 12 13]
4,159,[7 6 5 2 10 1 4 3 11 13 8 12 9]
5,159,[7 6 5 2 10 1 4 3 11 13 8 12 9]
6,-113,[8 9 5 13 3 11 4 7 2 1 6 12 10]
7,-58,[12 5 4 9 7 1 3 2 10 11 8 13 6]
8,428,[1 4 2 9 6 3 7 11 5 13 8 12 10]
9,-291,[8 3 7 12 11 13 10 4 6 1 2 5 9]
10,-45,[11 9 7 3 1 10 6 5 8 4 12 13 2]
11,98,[3 1 12 8 9 2 10 5 4 11 13 6 7]
12,-106,[11 6 7 12 8 1 3 9 2 10 5 4 13]
13,-4,[11 2 8 10 7 3 9 12 4 5 6 1 13]
14,79,[12 3 1 11 9 2 10 6 4 7 8 13 5]
15,-158,[1 13 4 7 9 6 8 3 10 2 12 11 5]
16,-328,[13 7 12 5 6 10 9 3 4 8 2 1 11]
17,-57,[5 10 6 12 11 8 1 4 9 7 3 2 13]
18,117,[2 8 4 9 11 1 5 6 13 12 3 7 10]
19,305,[6 2 5 3 12 7 4 1 11 13 9 8 10]
20,95,[7 3 6 1 8 12 9 5 4 13 10 11 2]
21,-391,[6 10 12 9 11 7 3 8 1 4 2 13 5]
22,19,[3 9 1 12 5 10 7 13 2 6 4 8 11]
23,-365,[13 11 3 6 12 10 5 1 8 7 4 2 9]
24,211,[4 2 10 9 1 11 12 7 3 5 8 6 13]
25,-100,[12 10 9 2 4 7 8 5 11 6 3 1 13]
Iteration: 5
Team ,Score ,Strategy
1,244,[7 6 5 2 10 1 4 3 11 13 8 12 9]
2,189,[4 2 10 9 1 11 7 13 3 5 8 6 12]
3,388,[6 4 5 3 2 9 7 11 1 13 8 12 10]
4,37,[7 4 5 9 10 3 2 6 11 13 8 12 1]
5,102,[11 5 9 2 6 1 10 3 7 13 8 12 4]
6,37,[7 4 5 9 10 3 2 6 11 13 8 12 1]
7,-166,[12 8 1 10 4 9 6 7 13 5 11 3 2]
8,-159,[2 9 3 7 11 13 10 6 12 4 8 5 1]
9,-127,[3 10 9 2 12 11 7 4 13 5 1 6 8]
10,-126,[2 6 12 7 8 4 13 11 10 1 5 9 3]
11,-332,[13 12 10 2 4 7 9 8 1 11 3 6 5]
12,235,[1 8 5 2 10 12 4 13 7 6 11 9 3]
13,-132,[10 8 5 1 12 11 13 3 4 7 2 6 9]
14,81,[6 11 1 5 9 2 7 13 4 12 8 3 10]
15,3,[2 13 8 1 10 5 7 9 3 4 6 11 12]
16,157,[8 1 6 3 5 7 12 13 10 4 11 2 9]
17,-76,[11 1 4 9 12 8 3 13 5 6 7 10 2]
18,413,[1 11 2 8 7 4 5 9 3 6 10 13 12]
19,-193,[12 11 6 2 13 1 10 5 8 7 3 4 9]
20,-88,[1 9 12 11 13 2 10 3 5 6 7 8 4]
21,19,[3 10 7 9 8 2 6 11 5 4 1 12 13]
22,207,[2 11 7 10 3 6 9 8 1 4 12 13 5]
23,-227,[7 6 11 12 4 3 2 10 8 13 5 9 1]
24,-217,[7 1 12 9 8 10 4 13 11 6 3 5 2]
25,-269,[11 7 3 10 6 12 8 9 13 2 4 1 5]
Iteration: 6
Team ,Score ,Strategy
1,178,[4 2 10 9 1 11 7 13 3 5 8 6 12]
2,116,[6 11 5 8 2 4 7 9 1 13 10 12 3]
3,469,[2 6 5 7 3 1 4 8 11 10 12 13 9]
4,-177,[7 8 5 2 10 12 4 13 11 6 3 9 1]
5,-177,[7 8 5 2 10 12 4 13 11 6 3 9 1]
6,282,[2 4 5 10 9 6 7 11 1 13 8 12 3]
7,-255,[12 11 1 10 3 7 9 6 13 8 5 4 2]
8,-282,[13 7 10 11 3 4 2 8 1 9 6 5 12]
9,-347,[9 7 13 12 1 10 2 11 8 5 3 6 4]
10,-135,[8 2 6 4 12 9 13 3 10 5 7 11 1]
11,-198,[5 11 6 7 10 3 9 4 12 2 13 8 1]
12,-233,[7 8 6 12 11 1 9 10 3 13 4 5 2]
13,442,[4 3 1 9 2 5 11 10 8 6 7 12 13]
14,216,[5 4 1 12 3 11 6 9 13 8 7 2 10]
15,348,[3 2 4 11 10 1 7 9 5 6 12 13 8]
16,-189,[10 2 13 11 1 8 3 5 9 7 6 4 12]
17,-7,[2 9 3 12 8 6 10 11 5 4 7 13 1]
18,217,[8 1 11 5 3 4 2 7 6 13 9 12 10]
19,-179,[11 9 4 8 12 7 3 2 6 1 13 10 5]
20,-379,[9 12 7 4 10 8 11 13 6 5 3 1 2]
21,-61,[2 6 9 8 11 10 3 7 5 4 12 13 1]
22,82,[2 12 6 5 1 10 8 9 13 3 7 11 4]
23,30,[1 3 13 9 7 4 5 10 8 2 6 11 12]
24,-85,[13 9 4 7 5 2 3 11 12 1 8 10 6]
