Team ,Score ,Strategy
1,464,[2 1 7 5 4 6 3 9 8 13 11 10 12]
2,196,[1 4 7 5 12 6 3 9 8 13 11 2 10]
3,300,[5 2 7 3 10 4 9 12 8 1 6 11 13]
4,195,[2 8 3 5 1 7 12 9 4 13 11 10 6]
5,195,[2 8 3 5 1 7 12 9 4 13 11 10 6]
6,125,[2 12 7 3 4 13 8 9 5 1 6 11 10]
7,273,[4 1 8 12 5 10 3 11 9 2 6 13 7]
8,-383,[4 9 12 13 5 2 7 8 11 10 3 6 1]
9,-297,[7 12 13 2 5 11 10 1 4 9 8 3 6]
10,56,[13 6 9 5 3 1 12 4 10 2 7 11 8]
11,98,[4 11 5 10 2 9 1 3 8 13 6 7 12]
12,-84,[11 13 2 3 1 6 4 10 8 12 7 5 9]
13,-407,[6 11 4 13 12 9 8 1 2 10 5 3 7]
14,-240,[3 11 13 1 10 5 12 8 4 2 7 9 6]
15,-295,[7 8 13 2 6 9 4 11 10 12 3 5 1]
16,-286,[8 13 9 5 3 7 10 2 11 12 6 4 1]
17,23,[10 2 8 6 3 9 1 13 12 7 5 11 4]
18,-28,[2 12 7 3 5 11 8 10 1 9 4 13 6]
19,-209,[11 9 12 5 3 10 7 1 8 4 2 6 13]
20,192,[8 5 1 6 7 13 3 12 11 4 10 2 9]
21,28,[8 7 6 11 2 9 3 12 4 1 5 13 10]
22,132,[3 9 2 11 1 5 10 6 4 7 13 8 12]
23,413,[1 5 3 8 4 7 2 6 13 12 10 11 9]
24,-144,[8 2 1 7 13 4 11 12 10 9 3 6 5]
25,-317,[9 8 13 5 7 12 6 10 4 3 1 11 2]
